Clump_Name,idx_cores,Ipeak_DCOp_pb,err_Ipeak_DCOp_pb,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,sig_nth_DCOp,err_sig_nth_DCOp,Mach_DCOp,err_Mach_DCOp,Ipeak_N2Dp_pb,err_Ipeak_N2Dp_pb,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,sig_nth_N2Dp,err_sig_nth_N2Dp,Mach_N2Dp,err_Mach_N2Dp
,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,,K,K,km/s,km/s,km/s,km/s,km/s,km/s,,
G327.11,1,0.22,0.03,-59.26,0.05,0.32,0.05,0.3,0.05,1.35,0.24,0.33,0.03,-59.31,0.04,0.19,0.05,0.16,0.06,0.71,0.26
G327.11,2,0.36,0.07,-59.37,0.05,0.23,0.05,0.21,0.05,1.1,0.3,0.6,0.06,-59.33,0.04,0.25,0.12,0.23,0.13,1.2,0.67
G327.11,3,,,,,,,,,,,0.11,0.01,-58.92,0.13,0.44,0.35,0.43,0.36,1.75,1.49
G327.11,4,,,,,,,,,,,0.21,0.02,-59.48,0.04,0.1,0.04,0.03,0.15,0.13,0.62
G327.11,5,,,,,,,,,,,,,,,,,,,,
G327.11,6,,,,,,,,,,,,,,,,,,,,
G327.11,7,0.28,0.05,-59.2,0.05,0.26,0.05,0.24,0.06,0.94,0.25,,,,,,,,,,
G327.11,8,,,,,,,,,,,,,,,,,,,,
G327.11,9,,,,,,,,,,,,,,,,,,,,
G327.11,10,,,,,,,,,,,,,,,,,,,,
G327.11,11,,,,,,,,,,,,,,,,,,,,
G327.11,12,,,,,,,,,,,,,,,,,,,,
G327.11,13,0.19,0.03,-58.89,0.07,0.38,0.07,0.37,0.07,1.57,0.35,,,,,,,,,,
G327.11,14,,,,,,,,,,,,,,,,,,,,
G327.11,15,,,,,,,,,,,,,,,,,,,,
G327.11,16,,,,,,,,,,,,,,,,,,,,
G327.11,17,,,,,,,,,,,,,,,,,,,,
G327.11,18,,,,,,,,,,,,,,,,,,,,
G327.11,19,,,,,,,,,,,,,,,,,,,,
G327.11,20,,,,,,,,,,,,,,,,,,,,
G327.11,21,,,,,,,,,,,,,,,,,,,,
G331.37,1,0.18,0.03,-87.72,0.08,0.48,0.08,0.47,0.08,2.08,0.37,0.36,0.04,-87.71,0.04,0.27,0.06,0.25,0.07,1.11,0.3
G331.37,2,,,,,,,,,,,,,,,,,,,,
G331.37,3,,,,,,,,,,,,,,,,,,,,
G331.37,4,,,,,,,,,,,,,,,,,,,,
G331.37,5,,,,,,,,,,,,,,,,,,,,
G331.37,6,,,,,,,,,,,,,,,,,,,,
G331.37,7,0.4,0.09,-87.42,0.07,0.27,0.07,0.25,0.08,1.06,0.34,,,,,,,,,,
G331.37,8,0.64,0.14,-87.79,0.03,0.12,0.03,0.08,0.05,0.4,0.25,,,,,,,,,,
G331.37,9,,,,,,,,,,,,,,,,,,,,
G331.37,10,,,,,,,,,,,,,,,,,,,,
G331.37,11,,,,,,,,,,,,,,,,,,,,
G331.37,12,0.12,0.02,-88.15,0.06,0.27,0.06,0.25,0.06,1.11,0.29,0.2,0.02,-88.19,0.04,0.1,0.03,0.04,0.07,0.17,0.32
G331.37,13,0.21,0.05,-88.23,0.12,0.41,0.12,0.4,0.12,1.79,0.58,,,,,,,,,,
G331.37,14,,,,,,,,,,,,,,,,,,,,
G331.37,15,,,,,,,,,,,,,,,,,,,,
G331.37,16,,,,,,,,,,,,,,,,,,,,
G331.37,17,,,,,,,,,,,,,,,,,,,,
G331.37,18,,,,,,,,,,,,,,,,,,,,
G331.37,19,,,,,,,,,,,,,,,,,,,,
G331.37,20,,,,,,,,,,,,,,,,,,,,
G331.37,21,,,,,,,,,,,,,,,,,,,,
G331.37,22,,,,,,,,,,,,,,,,,,,,
G331.37,23,,,,,,,,,,,,,,,,,,,,
G331.37,24,,,,,,,,,,,,,,,,,,,,
G331.37,25,,,,,,,,,,,,,,,,,,,,
G331.37,26,,,,,,,,,,,,,,,,,,,,
G331.37,27,,,,,,,,,,,,,,,,,,,,
G331.37,28,,,,,,,,,,,,,,,,,,,,
G331.37,29,,,,,,,,,,,,,,,,,,,,
G331.37,30,,,,,,,,,,,,,,,,,,,,
G331.37,31,,,,,,,,,,,,,,,,,,,,
G331.37,32,,,,,,,,,,,,,,,,,,,,
G331.37,33,,,,,,,,,,,,,,,,,,,,
G331.37,34,,,,,,,,,,,,,,,,,,,,
G331.37,35,,,,,,,,,,,,,,,,,,,,
G331.37,36,0.23,0.05,-88.32,0.08,0.32,0.08,0.3,0.08,1.19,0.36,,,,,,,,,,
G331.37,37,,,,,,,,,,,,,,,,,,,,
G331.37,38,,,,,,,,,,,,,,,,,,,,
G331.37,39,,,,,,,,,,,,,,,,,,,,
G337.54,1,0.23,0.02,-54.62,0.09,0.74,0.09,0.73,0.09,3.15,0.42,,,,,,,,,,
G337.54,2,0.52,0.04,-54.72,0.04,0.43,0.04,0.42,0.04,1.81,0.19,0.42,0.04,-54.79,0.03,0.39,0.11,0.37,0.11,1.62,0.49
G337.54,3,0.28,0.03,-54.42,0.04,0.34,0.04,0.32,0.04,1.52,0.21,0.16,0.02,-54.5,0.04,0.11,0.03,0.07,0.05,0.31,0.26
G337.54,4,0.56,0.05,-55.54,0.02,0.16,0.02,0.12,0.02,0.53,0.1,0.21,0.02,-55.63,0.04,0.15,0.05,0.12,0.06,0.52,0.26
G337.54,5,0.35,0.07,-55.3,0.05,0.2,0.05,0.18,0.05,0.89,0.28,,,,,,,,,,
G337.54,6,0.19,0.02,-55.88,0.03,0.2,0.03,0.18,0.03,0.83,0.17,,,,,,,,,,
G337.54,7,0.14,0.03,-55.89,0.05,0.19,0.05,0.17,0.05,0.8,0.27,,,,,,,,,,
G337.54,8,0.4,0.06,-55.65,0.03,0.17,0.03,0.14,0.04,0.64,0.17,,,,,,,,,,
G337.54,9,0.44,0.07,-54.37,0.06,0.33,0.06,0.31,0.06,1.48,0.29,0.15,0.01,-54.57,0.08,0.4,0.09,0.39,0.09,1.84,0.45
G337.54,10,0.45,0.07,-56.09,0.03,0.18,0.03,0.16,0.04,0.74,0.2,,,,,,,,,,
G337.54,11,0.31,0.05,-55.77,0.04,0.21,0.04,0.19,0.04,0.93,0.2,,,,,,,,,,
G337.54,12,0.42,0.05,-55.89,0.03,0.18,0.03,0.15,0.03,0.72,0.15,,,,,,,,,,
G337.54,13,,,,,,,,,,,,,,,,,,,,
G337.54,14,,,,,,,,,,,,,,,,,,,,
G337.54,15,,,,,,,,,,,,,,,,,,,,
G337.54,16,,,,,,,,,,,,,,,,,,,,
G337.54,17,0.22,0.04,-54.83,0.05,0.24,0.05,0.22,0.05,0.94,0.24,0.14,0.01,-54.93,0.05,0.14,0.08,0.11,0.11,0.46,0.49
G337.54,18,,,,,,,,,,,,,,,,,,,,
G337.54,19,,,,,,,,,,,,,,,,,,,,
G332.96,1,0.26,0.03,-67.61,0.07,0.56,0.07,0.55,0.07,2.63,0.42,0.26,0.03,-67.65,0.06,0.38,0.09,0.36,0.09,1.74,0.46
G332.96,2,0.52,0.08,-67.04,0.06,0.31,0.06,0.3,0.06,1.42,0.31,,,,,,,,,,
G332.96,3,,,,,,,,,,,,,,,,,,,,
G332.96,4,,,,,,,,,,,,,,,,,,,,
G332.96,5,0.28,0.04,-66.64,0.06,0.36,0.06,0.35,0.06,1.65,0.34,,,,,,,,,,
G332.96,6,0.33,0.03,-66.76,0.05,0.44,0.05,0.43,0.05,2.05,0.32,0.2,0.02,-66.58,0.06,0.14,0.04,0.1,0.06,0.5,0.28
G332.96,7,0.17,0.03,-66.81,0.12,0.59,0.12,0.58,0.12,2.79,0.63,,,,,,,,,,
G332.96,8,,,,,,,,,,,,,,,,,,,,
G332.96,9,0.26,0.04,-68.62,0.07,0.42,0.07,0.41,0.07,1.94,0.4,,,,,,,,,,
G332.96,10,,,,,,,,,,,,,,,,,,,,
G332.96,11,0.22,0.03,-67.07,0.06,0.4,0.06,0.39,0.06,1.86,0.35,,,,,,,,,,
G332.96,12,,,,,,,,,,,,,,,,,,,,
G332.96,13,,,,,,,,,,,,,,,,,,,,
G332.96,14,0.19,0.04,-66.92,0.08,0.39,0.08,0.38,0.09,1.81,0.45,,,,,,,,,,
G332.96,15,,,,,,,,,,,,,,,,,,,,
G332.96,16,,,,,,,,,,,,,,,,,,,,
G332.96,17,,,,,,,,,,,,,,,,,,,,
G332.96,18,,,,,,,,,,,,,,,,,,,,
G332.96,19,,,,,,,,,,,,,,,,,,,,
G332.96,20,,,,,,,,,,,,,,,,,,,,
G340.17,1,,,,,,,,,,,,,,,,,,,,
G340.17,2,,,,,,,,,,,,,,,,,,,,
G340.17,3,,,,,,,,,,,,,,,,,,,,
G340.17,4,,,,,,,,,,,0.14,0.01,-54.35,0.14,0.42,0.22,0.41,0.22,1.62,0.9
G340.17,5,,,,,,,,,,,,,,,,,,,,
G340.17,6,,,,,,,,,,,,,,,,,,,,
G340.17,7,,,,,,,,,,,,,,,,,,,,
G340.17,8,,,,,,,,,,,,,,,,,,,,
G340.17,9,,,,,,,,,,,,,,,,,,,,
G340.17,10,,,,,,,,,,,,,,,,,,,,
G340.17,11,,,,,,,,,,,,,,,,,,,,
G340.17,12,,,,,,,,,,,,,,,,,,,,
G340.17,13,,,,,,,,,,,,,,,,,,,,
G340.17,14,,,,,,,,,,,,,,,,,,,,
G340.17,15,,,,,,,,,,,,,,,,,,,,
G340.17,16,,,,,,,,,,,,,,,,,,,,
G340.22,1,0.49,0.08,-52.38,0.05,0.26,0.05,0.24,0.05,1.08,0.25,,,,,,,,,,
G340.22,2,0.19,0.02,-52.43,0.04,0.29,0.04,0.28,0.04,1.2,0.18,,,,,,,,,,
G340.22,3,0.44,0.07,-52.13,0.06,0.33,0.06,0.32,0.06,1.4,0.3,,,,,,,,,,
G340.22,4,0.45,0.07,-52.26,0.07,0.41,0.07,0.4,0.07,1.77,0.35,,,,,,,,,,
G340.22,5,,,,,,,,,,,,,,,,,,,,
G340.22,6,,,,,,,,,,,,,,,,,,,,
G340.22,7,,,,,,,,,,,,,,,,,,,,
G340.22,8,,,,,,,,,,,,,,,,,,,,
G340.22,9,0.24,0.03,-51.34,0.05,0.31,0.05,0.29,0.05,1.44,0.33,,,,,,,,,,
G340.22,10,,,,,,,,,,,,,,,,,,,,
G340.22,11,,,,,,,,,,,,,,,,,,,,
G340.22,12,,,,,,,,,,,,,,,,,,,,
G340.22,13,,,,,,,,,,,,,,,,,,,,
G340.22,14,,,,,,,,,,,,,,,,,,,,
G340.22,15,,,,,,,,,,,,,,,,,,,,
G340.22,16,,,,,,,,,,,,,,,,,,,,
G340.22,17,,,,,,,,,,,,,,,,,,,,
G340.22,18,0.28,0.04,-52.04,0.07,0.41,0.07,0.4,0.07,2.13,0.48,,,,,,,,,,
G340.22,19,,,,,,,,,,,,,,,,,,,,
G340.22,20,,,,,,,,,,,,,,,,,,,,
G340.22,21,,,,,,,,,,,,,,,,,,,,
G340.23,1,,,,,,,,,,,0.26,0.03,-50.46,0.04,0.44,0.08,0.43,0.09,1.98,0.4
G340.23,2,,,,,,,,,,,,,,,,,,,,
G340.23,3,,,,,,,,,,,,,,,,,,,,
G340.23,4,0.74,0.07,-51.05,0.04,0.36,0.04,0.34,0.04,1.5,0.2,,,,,,,,,,
G340.23,5,0.25,0.04,-49.68,0.07,0.38,0.07,0.37,0.07,1.61,0.3,,,,,,,,,,
G340.23,6,,,,,,,,,,,,,,,,,,,,
G340.23,7,,,,,,,,,,,,,,,,,,,,
G340.23,8,,,,,,,,,,,,,,,,,,,,
G340.23,9,0.19,0.03,-50.38,0.09,0.51,0.09,0.5,0.09,2.15,0.39,,,,,,,,,,
G340.23,10,0.28,0.04,-50.7,0.05,0.35,0.05,0.34,0.06,1.51,0.27,,,,,,,,,,
G340.23,11,0.24,0.05,-51.13,0.08,0.34,0.08,0.33,0.08,1.34,0.35,,,,,,,,,,
G340.23,12,,,,,,,,,,,,,,,,,,,,
G340.23,13,,,,,,,,,,,,,,,,,,,,
G340.23,14,,,,,,,,,,,,,,,,,,,,
G340.23,15,,,,,,,,,,,,,,,,,,,,
G340.24,16,,,,,,,,,,,,,,,,,,,,
G341.03,1,0.43,0.05,-43.54,0.04,0.29,0.04,0.27,0.04,1.5,0.31,,,,,,,,,,
G341.03,2,0.85,0.05,-42.9,0.01,0.19,0.01,0.17,0.01,0.83,0.1,0.33,0.03,-42.96,0.04,0.15,0.06,0.11,0.08,0.57,0.41
G341.03,3,,,,,,,,,,,,,,,,,,,,
G341.03,4,0.26,0.03,-43.63,0.04,0.27,0.04,0.26,0.04,1.31,0.3,,,,,,,,,,
G341.03,5,0.24,0.02,-43.25,0.03,0.31,0.03,0.29,0.04,1.47,0.19,0.2,0.02,-43.3,0.05,0.24,0.12,0.22,0.13,1.1,0.64
G341.03,6,0.4,0.02,-43.81,0.02,0.26,0.02,0.24,0.02,1.09,0.1,0.15,0.02,-43.82,0.04,0.15,0.07,0.12,0.09,0.55,0.43
G341.03,7,0.55,0.06,-42.89,0.02,0.18,0.02,0.16,0.03,0.71,0.12,0.21,0.02,-42.81,0.08,0.25,0.18,0.23,0.19,1.05,0.88
G341.03,8,0.28,0.06,-43.04,0.05,0.19,0.05,0.17,0.05,0.75,0.23,,,,,,,,,,
G341.03,9,0.31,0.05,-43.4,0.03,0.17,0.03,0.14,0.04,0.66,0.18,,,,,,,,,,
G341.03,10,,,,,,,,,,,,,,,,,,,,
G341.03,11,0.23,0.05,-43,0.04,0.13,0.03,0.09,0.05,0.49,0.26,,,,,,,,,,
G341.03,12,0.25,0.02,-43.43,0.04,0.43,0.04,0.41,0.05,1.83,0.23,,,,,,,,,,
G341.03,13,,,,,,,,,,,,,,,,,,,,
G341.03,14,0.21,0.03,-42.51,0.06,0.35,0.06,0.33,0.06,1.6,0.31,0.26,0.03,-42.45,0.06,0.19,0.07,0.17,0.08,0.81,0.4
G341.03,15,0.34,0.07,-43.06,0.03,0.13,0.04,0.1,0.05,0.46,0.24,,,,,,,,,,
G341.03,16,0.26,0.04,-43.57,0.05,0.31,0.05,0.29,0.05,1.47,0.28,0.2,0.02,-43.6,0.06,0.22,0.14,0.2,0.15,1.03,0.76
G341.03,17,,,,,,,,,,,,,,,,,,,,
G341.03,18,,,,,,,,,,,,,,,,,,,,
G341.03,19,0.32,0.05,-42.52,0.03,0.16,0.03,0.13,0.04,0.6,0.17,,,,,,,,,,
G341.03,20,,,,,,,,,,,,,,,,,,,,
G341.03,21,0.28,0.04,-43.24,0.07,0.46,0.07,0.45,0.07,2.16,0.39,,,,,,,,,,
G341.03,22,0.22,0.03,-43.4,0.05,0.32,0.05,0.31,0.05,1.43,0.26,,,,,,,,,,
G341.03,23,,,,,,,,,,,,,,,,,,,,
G341.03,24,0.26,0.03,-42.94,0.09,0.77,0.09,0.77,0.09,4.59,0.71,,,,,,,,,,
G341.03,25,0.4,0.05,-43.49,0.03,0.24,0.03,0.22,0.04,1.03,0.17,,,,,,,,,,
G341.03,26,,,,,,,,,,,,,,,,,,,,
G341.03,27,0.3,0.05,-43.45,0.05,0.22,0.05,0.2,0.05,1.09,0.29,,,,,,,,,,
G341.03,28,0.38,0.07,-43.16,0.03,0.16,0.03,0.13,0.04,0.56,0.2,,,,,,,,,,
G341.03,29,,,,,,,,,,,,,,,,,,,,
G341.03,30,,,,,,,,,,,,,,,,,,,,
G341.03,31,0.24,0.06,-42.89,0.03,0.13,0.04,0.09,0.05,0.43,0.26,,,,,,,,,,
G341.03,32,,,,,,,,,,,,,,,,,,,,
G341.03,33,,,,,,,,,,,,,,,,,,,,
G341.03,34,0.34,0.04,-42.56,0.04,0.25,0.04,0.23,0.04,1.02,0.2,,,,,,,,,,
G341.03,35,,,,,,,,,,,,,,,,,,,,
G343.48,1,0.44,0.02,-28.85,0.02,0.36,0.02,0.34,0.02,1.45,0.09,0.23,0.02,-28.79,0.04,0.18,0.05,0.15,0.06,0.63,0.24
G343.48,2,0.35,0.07,-28.74,0.02,0.12,0.03,0.06,0.05,0.27,0.24,,,,,,,,,,
G343.48,3,0.32,0.04,-28.4,0.03,0.2,0.03,0.18,0.03,0.85,0.15,0.22,0.02,-28.47,0.06,0.32,0.17,0.31,0.17,1.49,0.84
G343.48,4,0.11,0.02,-28.39,0.09,0.59,0.09,0.58,0.09,2.84,0.5,0.23,0.02,-28.25,0.06,0.22,0.08,0.2,0.09,0.99,0.46
G343.48,5,,,,,,,,,,,,,,,,,,,,
G343.48,6,0.77,0.04,-28.59,0.01,0.23,0.01,0.21,0.02,1,0.09,0.52,0.05,-28.62,0.03,0.19,0.06,0.17,0.06,0.82,0.31
G343.48,7,,,,,,,,,,,,,,,,,,,,
G343.48,8,0.94,0.04,-28.46,0.01,0.22,0.01,0.2,0.01,1.01,0.12,0.55,0.05,-28.57,0.02,0.15,0.03,0.11,0.03,0.59,0.19
