Clump_Name,idx_cores,Mgas,radius_pc,Ncol_H2_peak,surface_col,T_nh3,sig_tot_deu,Mvir,alpha_vir,a_G,a_K,Proto_pre
,,Msun,pc,1E+23 cm^-2,g * cm^-2,K,km/s,Msun,,pc Myr^-2,pc Myr^-2,
G331.37,14,1.07,0.022,0.23,0.15,17.9,,,,2.01,,1
G331.37,15,0.96,0.018,0.24,0.19,16,,,,2.61,,0
G331.37,16,0.85,0.015,0.24,0.26,16,,,,3.49,,0
G331.37,17,0.51,0.012,0.23,0.23,16,,,,3.08,,0
G331.37,18,0.45,0.01,0.22,0.27,16,,,,3.71,,0
G331.37,19,0.25,0.009,0.19,0.22,18.1,,,,3,,1
G331.37,20,0.79,0.017,0.2,0.19,17,,,,2.53,,0
G331.37,21,0.52,0.013,0.21,0.2,16,,,,2.7,,0
G331.37,22,0.97,0.019,0.19,0.18,17.1,,,,2.46,,0
G331.37,23,0.56,0.013,0.2,0.23,16,,,,3.07,,0
G331.37,24,0.72,0.018,0.17,0.15,18.1,,,,1.98,,2
G331.37,25,0.61,0.015,0.19,0.17,16,,,,2.35,,0
G331.37,26,0.49,0.015,0.17,0.14,17.8,,,,1.95,,0
G331.37,27,0.46,0.012,0.2,0.2,16,,,,2.68,,0
G331.37,28,0.83,0.018,0.17,0.16,17.5,,,,2.2,,0
G331.37,29,0.57,0.014,0.17,0.19,17.9,,,,2.59,,1
G331.37,30,0.27,0.009,0.16,0.2,18,,,,2.71,,0
G331.37,31,0.63,0.019,0.2,0.12,16,,,,1.65,,0
G331.37,32,0.58,0.016,0.16,0.15,18,,,,2.01,,0
G331.37,33,0.78,0.018,0.15,0.15,18.9,,,,2.04,,0
G331.37,34,1.06,0.023,0.19,0.13,16,,,,1.81,,0
G331.37,35,0.48,0.015,0.14,0.15,19.2,,,,1.97,,0
G331.37,36,0.27,0.011,0.14,0.14,18.8,0.4,1.21,4.51,1.95,14.91,0
G331.37,37,0.57,0.02,0.17,0.1,15.7,,,,1.33,,0
G331.37,38,0.43,0.015,0.13,0.13,16,,,,1.7,,0
G331.37,39,0.51,0.017,0.13,0.11,15.4,,,,1.51,,2
G337.54,1,9.95,0.016,3.85,2.73,15.3,0.77,7.36,0.74,36.92,39.46,3
G337.54,2,3.99,0.016,0.97,1.01,15.3,0.48,2.89,0.72,13.67,14.75,3
G337.54,3,5.18,0.018,1.08,1.03,12.9,0.39,2.04,0.39,13.86,8.5,3
G337.54,4,1.18,0.013,0.42,0.48,15.2,0.26,0.62,0.53,6.44,5.53,0
G337.54,5,0.93,0.009,0.63,0.72,11,0.26,0.51,0.55,9.76,7.83,0
G337.54,6,3.01,0.024,0.48,0.34,13.3,0.28,1.44,0.48,4.59,3.37,0
G337.54,7,1.12,0.014,0.49,0.4,12.4,0.27,0.67,0.6,5.45,5.47,2
G337.54,8,1.31,0.013,0.44,0.48,13.1,0.25,0.59,0.45,6.48,5,0
G337.54,9,2.5,0.02,0.43,0.42,12.9,0.38,2.17,0.87,5.71,7.57,1
G337.54,10,0.41,0.007,0.41,0.5,12.7,0.26,0.4,0.96,6.71,9.69,0
G337.54,11,1.06,0.014,0.4,0.35,12,0.28,0.87,0.82,4.7,5.77,0
G337.54,12,0.47,0.009,0.35,0.38,12.4,0.26,0.43,0.91,5.1,7.51,0
G337.54,13,0.21,0.006,0.3,0.38,13.1,,,,5.11,,0
G337.54,14,0.59,0.015,0.22,0.17,15.1,,,,2.33,,2
G337.54,15,0.37,0.011,0.2,0.2,16.6,,,,2.73,,2
G337.54,16,0.2,0.006,0.29,0.35,12.5,,,,4.75,,0
G337.54,17,1.34,0.029,0.19,0.11,15.2,0.32,2.16,1.61,1.48,3.66,3
G337.54,18,0.24,0.009,0.16,0.18,14.3,,,,2.4,,2
G337.54,19,0.16,0.011,0.1,0.08,18.9,,,,1.14,,2
G332.96,1,4.11,0.022,0.8,0.55,12.6,0.59,5.6,1.36,7.44,16.33,2
G332.96,2,0.64,0.01,0.47,0.4,12.6,0.37,1.05,1.65,5.38,13.52,0
G332.96,3,2.49,0.023,0.46,0.32,12.6,,,,4.27,,0
G332.96,4,1.14,0.013,0.42,0.46,12.6,,,,6.28,,0
G332.96,5,1.47,0.018,0.37,0.31,12.6,0.4,2.5,1.7,4.23,9.67,0
G332.96,6,1.35,0.018,0.34,0.27,12.6,0.48,3.25,2.4,3.69,13.21,2
G332.96,7,0.44,0.009,0.31,0.37,12.6,0.62,2.61,5.92,4.95,45.11,0
G332.96,8,0.48,0.011,0.29,0.28,12.6,,,,3.85,,0
G332.96,9,0.79,0.015,0.28,0.23,12.6,0.46,2.21,2.79,3.12,14.5,0
G332.96,10,0.28,0.008,0.26,0.3,12.6,,,,4.04,,0
G332.96,11,0.63,0.014,0.26,0.2,12.6,0.44,2,3.16,2.72,14.16,0
G332.96,12,0.47,0.011,0.25,0.25,12.6,,,,3.44,,0
G332.96,13,0.4,0.01,0.25,0.27,12.6,,,,3.67,,0
G332.96,14,0.26,0.009,0.23,0.24,12.6,0.43,1.09,4.19,3.2,23.08,0
G332.96,15,0.37,0.011,0.23,0.22,12.6,,,,2.94,,0
G332.96,16,0.37,0.011,0.22,0.22,12.6,,,,2.98,,0
G332.96,17,0.34,0.011,0.22,0.2,12.6,,,,2.73,,0
G332.96,18,0.39,0.012,0.21,0.19,12.6,,,,2.55,,0
