Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G331.37,14,1.43,0.33,17.9,0.33,0.04,-87.05,0.12,0.93,0.12,4.45,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,15,1.33,0.52,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,16,1.66,0.86,16,0.61,0.12,-87.81,0.11,0.39,0.1,3.36,1.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,17,1.6,0.93,16,0.81,0.12,-87.46,0.11,0.64,0.11,7.39,1.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,0.02,-85.97,0.27,1.82,0.27,0.25,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,18,1.73,1.3,16,1.2,0.06,-87.85,0.03,0.53,0.03,9.05,0.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,19,1.33,1.27,18.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.08,-78.2,0.15,0.46,0.15,1.06,0.46
G331.37,20,1.14,0.55,17,0.66,0.12,-86.62,0.09,0.49,0.11,4.6,1.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,21,1.18,0.75,16,0.52,0.04,-88.34,0.06,0.61,0.06,4.44,0.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,22,1.38,0.48,17.1,1.02,0.06,-86.98,0.05,0.68,0.05,9.89,1.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19,0.02,-88.26,0.07,0.69,0.07,0.14,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,23,1.5,0.87,16,1.12,0.19,-87.13,0.12,0.62,0.12,9.97,2.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,24,1.14,0.4,18.1,0.61,0.03,-87.71,0.07,1.05,0.07,9.08,0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.24,0.02,-89.19,0.08,0.98,0.08,0.25,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,25,1.19,0.56,16,0.83,0.13,-89.05,0.1,0.39,0.07,4.58,1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,26,1.25,0.47,17.8,0.38,0.09,-86.3,0.27,0.94,0.27,5.01,1.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,27,1.49,0.79,16,1.06,0.05,-87.84,0.03,0.53,0.03,7.97,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,28,1.24,0.44,17.5,0.42,0.04,-86.8,0.12,1.04,0.12,6.15,0.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,29,1.23,0.67,17.9,0.83,0.1,-86.71,0.1,0.71,0.1,8.33,1.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,30,1.3,1.05,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,31,1.28,0.33,16,0.45,0.04,-88.2,0.17,1.57,0.17,9.96,1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,0.03,-88.94,0.1,0.55,0.1,0.1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,32,1.26,0.45,18,0.99,0.19,-87.32,0.17,0.79,0.17,11.06,3.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,33,0.94,0.4,18.9,0.18,0.05,-87.93,0.38,1.16,0.38,3.01,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,34,1.21,0.29,16,0.79,0.04,-87.61,0.03,0.57,0.03,6.34,0.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,35,1.1,0.49,19.2,1.13,0.16,-87.27,0.09,0.58,0.09,9.33,2.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,36,1.06,0.64,18.8,0.53,0.13,-87.52,0.14,0.5,0.14,3.8,1.42,0.23,0.05,-88.32,0.08,0.32,0.08,1.07,0.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,37,1.03,0.25,15.7,0.8,0.12,-88.41,0.1,0.52,0.09,5.95,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,0.02,-88.77,0.13,0.81,0.13,0.12,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,38,0.88,0.41,16,0.82,0.05,-88.29,0.04,0.46,0.03,5.38,0.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G331.37,39,0.9,0.32,15.4,0.65,0.05,-89.12,0.06,0.59,0.05,5.42,0.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,1,12.41,8.67,15.3,1.98,0.06,-53.79,0.03,0.76,0.03,26.43,1.76,0.23,0.02,-54.62,0.09,0.74,0.09,2.58,0.45,-,-,-,-,-,-,-,-,1.37,0.01,-54.27,0.02,2.06,0.02,2.88,0.43,0.57,0.01,-54.59,0.03,1.49,0.03,2.85,0.43,0.07,0.01,-54.8,0.21,1.37,0.21,0.38,0.08,-,-,-,-,-,-,-,-,0.18,0.01,-54.63,0.1,1.31,0.1,1.3,0.17,0.18,0.02,-55.05,0.21,1.3,0.21,1.89,0.41
G337.54,2,6.38,3.09,15.3,1.21,0.07,-54.16,0.04,0.6,0.04,11.65,1.14,0.52,0.04,-54.72,0.04,0.43,0.04,3.46,0.47,0.42,0.04,-54.79,0.03,0.39,0.11,3.94,1.2,1.63,0.01,-52.81,0.01,1.85,0.01,3.07,0.46,0.47,0.01,-52.92,0.04,1.85,0.04,2.93,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,0.01,-54.24,0.15,1.1,0.15,0.76,0.15,-,-,-,-,-,-,-,-
G337.54,3,5.53,2.77,12.9,0.65,0.04,-55.83,0.05,0.69,0.05,7.2,0.75,0.28,0.03,-54.42,0.04,0.34,0.04,1.58,0.27,0.16,0.02,-54.5,0.04,0.11,0.03,1.25,0.37,0.38,0.01,-54.34,0.06,2.2,0.06,0.85,0.13,0.27,0.01,-54.9,0.06,1.43,0.06,1.75,0.28,0.12,0.01,-55.22,0.13,1.22,0.13,0.7,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,4,3.1,1.84,15.2,0.23,0.02,-55.41,0.13,1.53,0.13,5.21,0.65,0.56,0.05,-55.54,0.02,0.16,0.02,1.35,0.2,0.21,0.02,-55.63,0.04,0.15,0.05,0.96,0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,0.05,-55.44,0.04,0.13,0.03,4.78,1.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,5,4.76,3.87,11,-,-,-,-,-,-,-,-,0.35,0.07,-55.3,0.05,0.2,0.05,1.34,0.42,-,-,-,-,-,-,-,-,0.12,0.03,-55.54,0.11,0.5,0.13,0.07,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,6,3.1,0.69,13.3,1.13,0.04,-55.74,0.03,0.75,0.03,12.88,0.99,0.19,0.02,-55.88,0.03,0.2,0.03,0.64,0.13,-,-,-,-,-,-,-,-,0.18,0.01,-55.61,0.06,0.86,0.06,0.15,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,7,2.62,1.47,12.4,0.48,0.02,-55.29,0.1,1.78,0.1,13.02,1.14,0.14,0.03,-55.89,0.05,0.19,0.05,0.47,0.16,-,-,-,-,-,-,-,-,0.16,0.02,-55.8,0.08,0.72,0.08,0.12,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,8,3.53,1.76,13.1,0.92,0.04,-52.84,0.04,0.85,0.04,12.13,0.99,0.4,0.06,-55.65,0.03,0.17,0.03,1.13,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,9,3.03,1.06,12.9,0.99,0.03,-55.26,0.03,0.93,0.03,14.17,0.97,0.44,0.07,-54.37,0.06,0.33,0.06,2.46,0.59,0.15,0.01,-54.57,0.08,0.4,0.09,2.74,0.7,0.31,0.01,-54.11,0.05,1.1,0.05,0.35,0.05,-,-,-,-,-,-,-,-,0.14,0.01,-55.51,0.17,2.49,0.17,1.74,0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,10,3.31,3.31,12.7,0.84,0.05,-56.07,0.04,0.62,0.04,7.99,0.8,0.45,0.07,-56.09,0.03,0.18,0.03,1.42,0.36,-,-,-,-,-,-,-,-,0.25,0.02,-55.86,0.1,1.16,0.1,0.29,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,11,3.3,1.21,12,1.59,0.04,-55.36,0.02,0.67,0.02,16.66,0.99,0.31,0.05,-55.77,0.04,0.21,0.04,1.18,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,12,3.03,2.05,12.4,0.99,0.04,-55.03,0.06,1.37,0.06,21.07,1.63,0.42,0.05,-55.89,0.03,0.18,0.03,1.3,0.26,-,-,-,-,-,-,-,-,0.12,0.02,-55.72,0.15,0.83,0.15,0.1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,13,2.6,3.12,13.1,0.63,0.04,-56.07,0.06,0.81,0.06,7.73,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,0.01,-55.9,0.23,1.79,0.23,0.23,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.06,-52.63,0.07,0.31,0.07,0.75,0.23
G337.54,14,1.7,0.57,15.1,0.65,0.04,-53.51,0.12,1.91,0.12,18.03,1.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,15,1.39,0.91,16.6,1.13,0.04,-56.19,0.04,0.83,0.04,13.44,1.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.01,-54.98,0.08,2.27,0.08,0.84,0.13,0.12,0.01,-55.08,0.2,2.12,0.2,0.77,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,16,2.49,2.85,12.5,1.02,0.05,-56.1,0.04,0.72,0.04,11.29,1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,17,1.17,0.19,15.2,0.94,0.06,-51.58,0.04,0.59,0.04,7.87,0.84,0.22,0.04,-54.83,0.05,0.24,0.05,0.82,0.23,0.14,0.01,-54.93,0.05,0.14,0.08,0.59,0.35,0.7,0.01,-54.48,0.02,1.58,0.02,1.13,0.17,0.26,0.01,-54.83,0.05,1.39,0.05,1.22,0.19,0.14,0.01,-54.61,0.13,3.01,0.13,1.64,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,18,1.28,0.93,14.3,0.93,0.05,-54.18,0.03,0.5,0.03,6.7,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.03,0.01,-53.64,0.02,1.39,0.02,1.45,0.22,0.32,0.01,-53.65,0.07,1.39,0.07,1.65,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G337.54,19,0.69,0.37,18.9,2.11,0.05,-52.14,0.02,0.66,0.02,19.82,1.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.12,0.01,-54.63,0.18,1.37,0.18,0.17,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,1,3.65,1.22,12.6,0.37,0.03,-68.35,0.1,1.16,0.1,6.56,0.85,0.26,0.03,-67.61,0.07,0.56,0.07,2.56,0.42,0.26,0.03,-67.65,0.06,0.38,0.09,2.71,0.69,0.34,0.02,-67.54,0.07,1.19,0.07,0.42,0.07,0.09,0.02,-68.39,0.29,1.35,0.29,0.59,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,2,2.89,1.91,12.6,1.02,0.09,-67.52,0.08,0.83,0.08,12.94,1.85,0.52,0.08,-67.04,0.06,0.31,0.06,2.85,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,3,2.27,0.68,12.6,1.07,0.05,-67.05,0.03,0.68,0.03,11.05,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,0.02,-66.42,0.11,0.55,0.1,0.08,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,4,3.1,1.81,12.6,0.54,0.04,-66.63,0.06,0.63,0.06,5.21,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,5,2.26,0.88,12.6,0.58,0.04,-66.9,0.05,0.63,0.05,5.56,0.62,0.28,0.04,-66.64,0.06,0.36,0.06,1.72,0.38,-,-,-,-,-,-,-,-,0.16,0.02,-66.42,0.09,0.64,0.09,0.11,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,6,2.57,0.75,12.6,0.72,0.04,-67.08,0.07,1,0.07,11,1.13,0.33,0.03,-66.76,0.05,0.44,0.05,2.55,0.4,0.2,0.02,-66.58,0.06,0.14,0.04,2.07,0.66,0.11,0.02,-66.46,0.12,0.79,0.12,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,7,2.72,2.03,12.6,0.59,0.05,-66.43,0.06,0.64,0.06,5.8,0.77,0.17,0.03,-66.81,0.12,0.59,0.12,1.77,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,0.04,-66.76,0.06,0.27,0.06,11.31,3.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,8,2.07,1.34,12.6,0.36,0.04,-67.03,0.1,0.69,0.1,3.74,0.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.02,-67.71,0.18,0.88,0.18,0.1,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,9,1.91,0.76,12.6,0.47,0.05,-69.14,0.07,0.63,0.07,4.45,0.73,0.26,0.04,-68.62,0.07,0.42,0.07,1.9,0.44,-,-,-,-,-,-,-,-,0.13,0.02,-68.59,0.19,1.06,0.19,0.15,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,10,2.06,1.89,12.6,0.77,0.08,-66.72,0.06,0.53,0.06,6.16,0.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,11,1.89,0.69,12.6,0.93,0.1,-66.87,0.06,0.53,0.06,7.45,1.25,0.22,0.03,-67.07,0.06,0.4,0.06,1.53,0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,12,1.63,1.14,12.6,0.42,0.04,-67.09,0.08,0.74,0.08,4.61,0.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,13,1.86,1.36,12.6,0.66,0.06,-65.77,0.06,0.59,0.06,5.87,0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,14,1.82,1.37,12.6,0.79,0.1,-66.56,0.11,0.76,0.11,8.99,1.84,0.19,0.04,-66.92,0.08,0.39,0.08,1.32,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,15,1.63,1.01,12.6,0.76,0.05,-65.94,0.05,0.67,0.05,7.71,0.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.03,-65.75,0.1,0.42,0.07,0.09,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,16,1.58,1.03,12.6,0.84,0.05,-66.57,0.04,0.61,0.04,7.66,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,17,1.38,0.94,12.6,0.9,0.1,-65.94,0.11,0.9,0.11,12.11,2.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,18,1.78,0.8,12.6,0.87,0.06,-66.77,0.04,0.54,0.04,7.06,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G332.96,19,1.5,1.03,12.6,0.56,0.05,-66.58,0.11,0.98,0.11,8.23,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
