Clump_Name,cores,N_H2,n_H2,T_nh3, I_C18O ,err_ I_C18O ,vlsr_C18O,err_vlsr_C18O,sig_C18O,err_sig_C18O,N_C18O,err_N_C18O, I_DCOp ,err_ I_DCOp ,vlsr_DCOp,err_vlsr_DCOp,sig_DCOp,err_sig_DCOp,N_DCOp,err_N_DCOp, I_N2Dp ,err_ I_N2Dp ,vlsr_N2Dp,err_vlsr_N2Dp,sig_N2Dp,err_sig_N2Dp,N_N2Dp,err_N_N2Dp, I_H2CO ,err_ I_H2CO ,vlsr_H2CO,err_vlsr_H2CO,sig_H2CO,err_sig_H2CO,N_H2CO,err_N_H2CO, I_CH3OH ,err_ I_CH3OH ,vlsr_CH3OH,err_vlsr_CH3OH,sig_CH3OH,err_sig_CH3OH,N_CH3OH,err_N_CH3OH, I_smoothSiO ,err_ I_smoothSiO ,vlsr_smoothSiO,err_vlsr_smoothSiO,sig_smoothSiO,err_sig_smoothSiO,N_smoothSiO,err_N_smoothSiO, I_CCD ,err_ I_CCD ,vlsr_CCD,err_vlsr_CCD,sig_CCD,err_sig_CCD,N_CCD,err_N_CCD, I_DCN ,err_ I_DCN ,vlsr_DCN,err_vlsr_DCN,sig_DCN,err_sig_DCN,N_DCN,err_N_DCN, I_13CS,err_ I_13CS,vlsr_13CS,err_vlsr_13CS,sig_13CS,err_sig_13CS,N_13CS,err_N_13CS
,,cm^-2,cm^-3,K,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,K,K,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2,K,K,km/s,km/s,km/s,km/s,cm^-2,cm^-2
,,1.00E+22,1.00E+06,,,,,,,,1.00E+14,1.00E+14,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+11,1.00E+11,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+13,1.00E+13,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,1.00E+12,,,,,,,1.00E+12,,,,,,,,1.00E+12,1.00E+12
G14.49,10,11.04,6.48,16.8,2.24,0.05,40.35,0.03,1.03,0.03,40.27,2.4,-,-,-,-,-,-,-,-,0.87,0.09,40.27,0.04,0.36,0.13,7.58,2.77,1.16,0.02,41.23,0.03,1.3,0.03,1.55,0.24,0.49,0.02,40.7,0.06,1.22,0.06,1.76,0.28,0.61,0.05,40.76,0.05,0.52,0.05,1.14,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,11,13.48,8.29,14.6,1.55,0.06,40.13,0.04,1,0.04,27.44,2.07,0.29,0.05,39.55,0.13,0.66,0.13,3.04,0.78,1.34,0.13,40.32,0.03,0.29,0.05,10.55,2.01,0.39,0.02,36.86,0.2,4.26,0.2,1.69,0.27,0.22,0.02,37.27,0.31,3.71,0.31,2.93,0.54,0.18,0.01,29.06,0.52,8.48,0.52,6.34,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,12,12.62,9.63,14.6,1.05,0.05,40.18,0.07,1.3,0.07,23.77,2.09,0.5,0.07,38.72,0.08,0.49,0.08,3.82,0.81,0.58,0.06,38.48,0.05,0.25,0.13,3.99,2.1,1.12,0.03,41.26,0.04,1.05,0.04,1.2,0.19,0.52,0.04,41.09,0.09,1.11,0.09,2.08,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,13,9.6,11.65,16.6,1.69,0.07,39.84,0.06,1.29,0.06,36.96,2.83,0.38,0.07,39.78,0.14,0.66,0.14,3.76,1.04,-,-,-,-,-,-,-,-,0.51,0.02,41.26,0.14,3.27,0.14,1.73,0.28,0.3,0.02,40.64,0.27,2.94,0.27,2.64,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,14,13.68,17.26,13.8,2.2,0.06,40.31,0.03,0.88,0.03,34.04,2.25,0.38,0.06,40.44,0.07,0.35,0.07,2.17,0.56,0.65,0.06,40.19,0.08,0.4,0.18,6.68,3.1,0.56,0.02,34.62,0.25,5.03,0.25,2.84,0.46,0.41,0.03,35.56,0.3,3.95,0.3,6.53,1.17,1.03,0.03,31.78,0.14,4.81,0.14,22.2,1.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,15,12.15,17.25,14.4,1.12,0.06,39.84,0.07,1.13,0.07,22.11,2.04,-,-,-,-,-,-,-,-,0.4,0.04,38.55,0.06,0.18,0.05,6.35,1.78,0.67,0.04,41.08,0.06,0.85,0.06,0.57,0.1,0.16,0.02,39.68,0.38,2.19,0.38,1.29,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,16,10.01,4.17,13.9,1.19,0.06,41.15,0.1,1.78,0.1,35.51,3.08,0.31,0.04,40.42,0.05,0.38,0.05,1.9,0.35,-,-,-,-,-,-,-,-,0.26,0.03,40.58,0.07,0.6,0.07,0.16,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,17,9.83,6.15,13.6,1.7,0.07,40.14,0.04,0.83,0.04,23.67,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.03,40.42,0.12,1,0.12,0.27,0.06,0.22,0.03,40.03,0.13,0.79,0.13,0.72,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,18,8.29,3.61,14.9,0.66,0.03,39.82,0.1,1.94,0.1,21.06,1.81,0.32,0.04,41.35,0.05,0.35,0.05,1.77,0.36,0.62,0.06,41.27,0.04,0.15,0.04,4.38,1.38,1.39,0.04,43.11,0.19,6.04,0.19,8.49,1.31,0.59,0.03,42.76,0.37,6.98,0.37,14.45,2.37,0.62,0.01,51.62,0.27,11.07,0.28,27.92,1.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G14.49,19,9.03,2.67,11.1,1.27,0.05,44.33,0.03,0.72,0.03,15.78,1.25,-,-,-,-,-,-,-,-,0.76,0.08,38.14,0.03,0.23,0.06,7.03,2.15,0.21,0.01,40.72,0.18,2.8,0.18,0.64,0.11,0.31,0.02,39.43,0.09,1.34,0.09,2.66,0.46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
